dataset,conversation_id,n_utterances_historical,n_utterances_rebuilt,n_utterances_difference,expert_n_utterances_historical,expert_n_utterances_rebuilt,expert_n_utterances_difference,partner_n_utterances_historical,partner_n_utterances_rebuilt,partner_n_utterances_difference,speaker_centroid_cosine_distance_historical,speaker_centroid_cosine_distance_rebuilt,speaker_centroid_cosine_distance_difference,radial_distance_median_historical,radial_distance_median_rebuilt,radial_distance_median_difference,radial_distance_q90_historical,radial_distance_q90_rebuilt,radial_distance_q90_difference,participation_ratio_historical,participation_ratio_rebuilt,participation_ratio_difference
wired,wired_nuclear_13,58,58,0,45,45,0,4,4,0,0.3262955546379089,0.3262956142425537,5.960464483090178e-08,0.5692059348397498,0.5692059420757356,7.2359858105386365e-09,0.7283336638012945,0.7283335762813635,-8.751993096911548e-08,22.881582275601343,22.88158241268456,1.3708321588978833e-07
wired,wired_sensing_13,90,90,0,45,45,0,15,15,0,0.1527316570281982,0.152731716632843,5.96046448031462e-08,0.5819668733672982,0.5819668426838509,-3.068344733847539e-08,0.7344351122857604,0.7344349885366446,-1.2374911584345227e-07,15.495718312873835,15.49571914684089,8.339670554136092e-07
wired,wired_sleep_13,80,80,0,40,40,0,12,12,0,0.1602043509483337,0.1602044105529785,5.960464477539063e-08,0.5324565737573739,0.5324565479238492,-2.5833524652796314e-08,0.7342306871178326,0.7342307444480274,5.7330194813687285e-08,22.00982242123043,22.009822937145657,5.159152252076638e-07
wired,wired_time_13,71,71,0,58,58,0,6,6,0,0.3716517686843872,0.3716516494750976,-1.192092896062924e-07,0.5839787785802936,0.5839787043519975,-7.422829606529291e-08,0.7014203088716202,0.7014203354272844,2.6555664223160136e-08,24.86541256391576,24.865412342052274,-2.2186348758168606e-07
wired,wired_zero_13,53,53,0,27,27,0,7,7,0,0.2679784297943115,0.2679784893989563,5.960464477539063e-08,0.5230815847886104,0.5230815997952566,1.500664614795255e-08,0.6641710666283981,0.6641710870620078,2.0433609693171206e-08,19.746084955776418,19.74608369702661,-1.2587498083860282e-06
wired,wired_Talia_14,44,44,0,29,29,0,9,9,0,0.2397228479385376,0.2397228479385376,0.0,0.5037095477584732,0.5037093877745622,-1.599839110077994e-07,0.79700366008973,0.7970037844940572,1.244043271730888e-07,18.618394878746223,18.618396080264947,1.2015187245140169e-06
wired,wired_astro_14,52,52,0,34,34,0,15,15,0,0.1103326082229614,0.1103326082229614,0.0,0.4189951552689312,0.4189951330533034,-2.2215627837329777e-08,0.7392804908223556,0.739280481539588,-9.282767554630311e-09,21.655858705132932,21.65586085663915,2.151506219405519e-06
wired,wired_blockchain_14,23,23,0,20,20,0,3,3,0,0.3428347706794739,0.3428347706794739,0.0,0.4620440440786133,0.4620440807956766,3.671706327867952e-08,0.6740175726524263,0.6740176791456866,1.0649326021017202e-07,13.782367129655771,13.782367431469453,3.018136816024253e-07
wired,wired_crispr_14,29,29,0,11,11,0,11,11,0,0.2857813239097595,0.2857814431190491,1.1920928955078125e-07,0.5372246045971926,0.5372247106256349,1.060284423592961e-07,0.6456247335392223,0.6456247217921283,-1.1747094075253983e-08,13.56912061303254,13.569119991923843,-6.211086969187818e-07
wired,wired_dimension_14,99,99,0,55,54,-1,11,12,1,0.207045316696167,0.2110263705253601,0.003981053829193115,0.5424385958778137,0.5434438350998734,0.0010052392220596396,0.6933610535241939,0.6942708143634165,0.000909760839222673,25.12878113865915,24.79622304802113,-0.33255809063802033
